stage,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,7.49,0,0,0,1.07,1.07,0,0,0,0,0
21Day,24.09,2.68,0,0,0,2.68,0,2.68,58.9,13.39,4.02,0,1.34,0,1.34,0,2.68,0,0
3Month,13.12,0,0.64,0.64,0,0,1.92,0.96,0.32,1.6,0,0.32,0.32,0,0,0.32,0,0.64,0.32
22Month,1.64,0,1.09,6.01,0.55,0,1.09,0.55,0,1.09,0.55,0.55,0,0,0,0,0,0,0
