stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
3Month,0,1.6,0.32,0.64,0.96,0.32,0,0.64,0.32,0,2.24,1.28,0,0.64,0,0,0.64,0,0.32,19.2
22Month,0.55,1.64,0,4.37,8.2,0.55,0.55,3.28,0,0.55,7.11,2.19,1.09,0,0,1.09,3.28,0.55,0,42.64
