stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,61.3,0,0,0,0,0,0,0
72hpf,1.07,0,5.35,1.07,0,0,0,0,0,0,0,0,0,0,4.28,0,1.07,29.95,13.91,1.07,3.21,0,0,1.07,0,0
21Day,0,0,1.34,2.68,0,0,0,0,0,1.34,0,0,1.34,0,6.69,2.68,0,0,4.02,0,1.34,0,2.68,0,0,0
3Month,0,0.32,2.24,0,0.32,0.32,0.32,1.28,0,0,0.96,0,1.28,0.96,0.32,0,0,0.32,0,0,0,1.6,0,0,0.64,0
22Month,0,0,2.73,0,0,0,0.55,4.37,0.55,1.09,0,0.55,0,0.55,1.09,0,0,0,0,0,0,0,0,0,0,0.55
