stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,T_cell
21Day,0,6.69,2.68,1.34,1.34,115.11,0,0,2.68,2.68,1.34,0,1.34,0
3Month,0.32,6.4,0,0.32,0,0,0.32,0,0,0,0,1.28,0,0
22Month,0,0.55,0,2.19,0.55,0,0,0.55,0,0,0,21.32,0,0.55
