stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,2.14,0,0,0,0,0,0,0,1.07,1.07,1.07,0,66.33,0,0,1.07,8.56,0,1.07,0,2.14,0,0
21Day,1.34,0,2.68,1.34,0,0,8.03,0,1.34,0,0,0,2.68,0,6.69,1.34,16.06,4.02,0,0,2.68,0,1.34,1.34,1.34,0,0
3Month,0.32,0.32,1.92,0.32,0,0.32,2.56,0,0.96,0,0,0.64,0.32,0.32,2.56,0,0,0,0,0,0,1.92,0,0,0,0.32,0
22Month,0,0,0,0,0,0,6.01,1.09,5.47,0.55,1.09,0.55,0.55,1.09,7.11,0.55,1.09,0,0.55,0,0,4.92,0,0,0,0,0.55
