stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,12.26,0,0,0,0,0,0,0,0,0,4.09,4.09,4.09,0,0,0,0,49.04,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,1.07,1.07,0,0,0,0,0,0,1.07,2.14,0,6.42,0,0,0,34.23,8.56,0,8.56,0,4.28,0,1.07,0,0
21Day,1.34,1.34,1.34,1.34,0,0,0,1.34,2.68,0,0,0,1.34,8.03,0,2.68,0,14.72,5.35,0,2.68,0,1.34,1.34,0,0,0
3Month,0,0.32,0,0,0,0,0.64,0.32,0,0.32,0,0.32,0,0,0,0.32,0.32,0,0,0,0,0.32,0,0,0,0,0
22Month,1.09,2.73,0,0,1.09,1.09,6.01,0,0,2.73,0,0,0,0,1.09,0,0,0,0,0.55,0,0.55,0,0,0,1.09,0.55
