stage,Endothelial_cell,Enterocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Neural_cell
3Month,0,0,0,0,0.32,0.32,0,0.64
22Month,0.55,0.55,0.55,0.55,13.67,0.55,0.55,0
