stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,126.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,8.17,0,0
72hpf,4.28,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,9.63,0,4.28,0,0,0,131.58,27.81,1.07,0,0,2.14,0,0,25.67,357.31,128.37,59.91,0,0
21Day,2.68,0,0,8.03,0,17.4,0,2.68,0,0,0,2.68,0,1.34,2.68,0,5.35,0,9.37,0,0,1.34,109.76,8.03,1.34,0,0,1.34,2.68,2.68,6.69,579.58,501.95,5.35,1.34,1.34
3Month,0,0,0,4.16,0,0,0.64,0.32,0.96,0,0,10.56,0.32,0.64,3.52,0.96,0.96,1.28,1.28,1.28,0.32,0,0.64,0,0,0.32,0,0,0.32,52.15,0,5.12,0,0.32,30.72,0.96
22Month,0,3.28,2.19,5.47,0.55,0,0,0,0.55,6.01,3.28,67.79,1.09,1.64,7.65,0,1.64,4.37,6.01,0,2.19,1.09,1.09,0,1.09,0,1.64,0.55,0,22.96,1.09,244.9,0,0,0,1.64
