stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,12.26,0,85.81,24.52,0,0,0,0,0,4.09,0,0,0,0,0,0,159.37,0,0,0,16.35,1675.43,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,6.42,0,0,151.91,16.05,3.21,0,1.07,0,0,0,0,0,0,3.21,9.63,0,20.33,0,0,0,156.19,123.03,2.14,0,18.19,0,0,0,16.05,0,0,0,0,0
21Day,2.68,0,1.34,48.19,0,0,0,0,0,0,0,0,0,0,0,2.68,0,9.37,0,0,0,41.49,28.11,1.34,0,10.71,2.68,0,8.03,12.05,0,5.35,1.34,1.34,1.34
3Month,0,0.32,0.32,12.8,0.64,0,0.32,0,0.96,2.24,0,7.68,1.6,1.28,0.32,3.52,0.96,2.56,0.32,0.32,0.32,0.32,0.96,2.24,0.32,0,1.28,0.32,138.54,5.12,0,0,0.32,40.63,1.28
22Month,0,0.55,0,1.64,0,0,0,0,0,1.09,0,5.47,0,0,0,0.55,0,1.64,0,0,0,0.55,0,0,1.09,0,0,0,26.24,9.84,0.55,0,0.55,0,0.55
