stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0
3Month,0.32,3.2,0.32,4.16,0.32,0.32,0.96,0.64,0.96,0.32,0.32,0.64,0.64,0.64,26.24,0.96,0.96,168.61,1.28
22Month,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,1.09,0,0,0,0
