stage,Cardiomyocyte,Epithelial_cell__Brain_,Hepatocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Radial_glia,T_cell
72hpf,0,0,0,1.07,0,0,1.07,0,0
21Day,1.34,1.34,0,0,1.34,0,0,0,2.68
3Month,0,0,0.32,0.32,0,0.32,0,0,0
22Month,0,0,0,0,0,0,0,0.55,1.09
