stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,4.09,0,0,12.26,81.73,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,4.28,1.07,0,0,1.07,0,0,0,0,0,2.14,4.28,41.72,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0
21Day,0,6.69,0,0,0,1.34,0,0,0,0,0,1.34,1.34,26.77,0,0,0,0,0,0,0,0,1.34,2.68,0,0,0
3Month,0,3.2,0,0.32,0.32,30.72,0,3.84,9.6,0,0.96,0.32,0.96,35.51,0.96,0.32,0,0,0,0.32,0.32,0.32,0,0,0,0.96,0.96
22Month,1.09,6.01,0,2.19,1.09,86.37,1.09,19.68,9.29,2.19,2.73,0,0.55,83.64,1.64,0,1.64,0,0,0,0,0,0,0,0.55,0,0.55
