stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Oligodendrocyte,Primordial_germ_cell,Smooth_muscle_cell
72hpf,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,2.68,0,0,1.34,0,0,0,1.34,0,0,0
3Month,0,0,0,0.32,0,0,0,0,0,0,0.32,0
22Month,0.55,0.55,0.55,7.65,1.09,0.55,0,1.09,0,0.55,0,0.55
