stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,16.05,7.49,2.14,0,1.07,1.07,0,0,0,0
21Day,2.68,0,1.34,0,1.34,1.34,0,0,0,1.34,0,1.34,0,13.39,0,1.34,0,4.02,4.02,5.35,0,0,0
3Month,1.28,0.96,0.64,1.6,1.6,0.32,0.32,0.32,1.28,0.32,0.64,0.32,0.32,0.96,0,0,2.56,0.32,0,0,0.32,0.64,0.32
22Month,0.55,0,0,3.28,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
