stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,49.04,4.09,0,8.17,0,0,0,0,0,12.26,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,3.21,0,0,5.35,56.7,2.14,0,1.07,0,0,0,1.07,0,2.14,13.91,0,7.49,0,1.07,0,1.07,21.4,10.7,0,0,0,6.42,0,0,2.14,0,0,0,0
21Day,2.68,0,0,13.39,16.06,0,0,0,0,0,0,4.02,1.34,0,6.69,1.34,16.06,0,0,0,0,9.37,8.03,0,0,0,5.35,0,4.02,0,1.34,0,0,1.34
3Month,0.32,0,0.32,17.92,19.2,0,0.96,1.92,0,10.56,3.52,0.32,3.52,14.72,4.48,3.2,3.2,1.6,0,0.32,2.24,0.64,0,0.96,0.32,0,0,0.64,44.15,0.64,0,0.64,66.55,1.92
22Month,0.55,0.55,1.09,7.65,5.47,0,1.64,2.19,1.09,32.8,1.09,0.55,8.2,1.09,3.28,3.83,3.28,0.55,0.55,0,1.09,0,0,1.09,0,2.19,0,0,39.36,1.09,0,0,1.64,1.09
