stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,4.09,73.56,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,0,0,1.07,5.35,0,2.14,0,0,20.33,3.21,0,0,6.42,0,0,0,0,1.07,0,0,0
21Day,4.02,0,0,21.42,5.35,2.68,0,0,0,2.68,0,0,1.34,4.02,1.34,4.02,0,0,17.4,4.02,0,0,0,0,1.34,1.34,4.02,1.34,0,0,1.34
3Month,0,1.28,0.32,7.36,0,0,2.56,0.64,0,12.48,0.64,8.96,0.96,2.88,1.28,1.28,1.28,1.28,0.64,0,0.64,0.32,0,2.88,0,0,0,0,0.64,1.28,0.96
22Month,0,0.55,0,2.19,0,0,0.55,0.55,0.55,24.6,0,8.2,0,0.55,1.09,0.55,0.55,0,0.55,0,0,1.09,0,0.55,0.55,0.55,0,0,0,0.55,0
