stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,12.26,0,0,0,0,0,4.09,0,0,0,0,8.17,8.17,12.26,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,1.07,0,0,0,0,1.07,0,0,0,0,1.07,0,2.14,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0,0,0,0
22Month,2.19,21.32,4.37,36.08,2.73,0.55,2.73,59.59,32.25,0,263.49,17.49,2.73,19.13,7.65,13.12,32.8,0.55,15.31,9.29,2.73,3.83,0,2.19,3.28,3365.75,0.55,0,6.01,1.64,3.83,0.55,8.2
