stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0,12.26,69.47,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,3.21,4.28,0,0,0,0,0,0,0,0,1.07,0,1.07,18.19,3.21,13.91,0,1.07,0,0,35.3,23.54,0,1.07,12.84,1.07,0,4.28,0,0
21Day,12.05,2.68,0,38.82,1.34,20.08,0,5.35,0,2.68,0,0,0,12.05,6.69,4.02,24.09,9.37,37.48,0,0,2.68,0,32.12,20.08,1.34,0,13.39,1.34,0,2.68,1.34,4.02
3Month,0,1.28,0.32,0.96,0,0,0,0,0.64,1.6,0,6.08,0.32,0,0.32,0,0,0.32,0.32,0.32,0,1.28,0.32,0.32,0,0.64,0,0,0,0.32,0,0,1.28
22Month,0,3.28,1.09,6.56,0,0,0.55,0,3.28,5.47,5.47,34.44,1.09,1.64,9.29,0.55,2.19,6.01,8.2,0,1.64,1.64,0,1.64,0,2.73,1.09,0,0,0,0,0,5.47
