stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,4.09,24.52,4.09,0,0,0,0,4.09,0,0,0,0,16.35,12.26,49.04,0,0,0,0,89.9,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.63,0,0,0,5.35,1.07,0,2.14,1.07,0,0
21Day,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,2.68,5.35,0,1.34,0,1.34,0
3Month,0.32,2.24,1.92,0.32,0,1.28,0,0,3.84,0.64,0.32,1.28,0,0.64,3.52,0.32,0,0.32,0,0,0,0.32,0.32,16.32,0.96
22Month,0,2.19,0.55,0,0.55,2.73,2.19,0,33.89,1.64,0.55,2.73,0,1.64,3.83,0,0.55,0,0,0,0.55,0,0,6.01,0
