stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,81.73,8.17,0,192.06,12.26,0,0,0,0,0,0,0,0,0,4.09,0,16.35,469.94,0,0,0,4.09,306.48,0,0,224.75,0,0,0,0,0,0,0,0,0
72hpf,23.54,2.14,0,34.23,28.88,3.21,0,0,0,0,0,0,0,0,0,37.44,0,157.26,0,1.07,0,59.91,19.26,0,1.07,333.77,0,0,3.21,0,1.07,8.56,0,0,0
21Day,14.72,0,0,21.42,0,6.69,2.68,0,0,1.34,2.68,0,2.68,1.34,2.68,8.03,1.34,426.99,0,5.35,0,33.46,5.35,1.34,0,282.43,4.02,0,13.39,1.34,5.35,2.68,0,0,0
3Month,0,0.32,0.64,4.8,0,0,0,2.56,0.32,3.2,4.16,1.92,0.32,1.6,0,2.88,1.92,99.18,8.96,3.84,0.64,0.32,0.32,0.64,0,37.43,0.32,7.36,4.48,0,0,0.32,0.64,3.52,1.28
22Month,0,1.09,0,1.09,0,0,0,0,0,2.73,20.77,1.09,1.09,1.09,0,0,2.73,6.56,0,0.55,0,0,0.55,0.55,0,4.37,0.55,6.56,16.4,0,0,0,0,0,0
