stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,4.09,12.26,0,8.17,24.52,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,1.07,0,1.07,1.07,0,0,0,0,1.07,0,2.14,0,67.4,60.98,0,2.14,2.14,0,0,6.42,0,1.07,0,0,0
21Day,0,0,0,1.34,1.34,0,0,0,0,0,2.68,0,5.35,0,69.6,17.4,0,6.69,2.68,1.34,0,10.71,0,1.34,0,0,2.68
3Month,0,0,1.6,0.64,0,0.32,2.56,0,0.64,1.28,2.88,1.92,7.36,0,0.64,0.64,0.64,7.68,0,0,4.16,23.36,0,0,0.64,2.88,0.96
22Month,0,0.55,0,0,0,1.09,5.47,0.55,2.73,0,1.64,1.64,4.92,1.09,0.55,0.55,0,4.92,0,0,0.55,41,0.55,0,0,0,0
