stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,0,4.09,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,1.07,0,7.49,1.07,0,0,0,1.07
21Day,0,1.34,1.34,0,0,0,1.34,0,0,4.02,0,0,0,0,2.68,1.34,0,1.34,0,0
3Month,0,2.24,0,0.32,0.64,0,3.2,0.32,0.32,0.32,0.64,0,0,0.32,0,0,0.64,0,9.92,0
