stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.26,1.07,1.07,0,0,0
21Day,1.34,0,0,0,2.68,0,1.34,0,0,0,0,0,14.72,0,1.34,1.34,1.34,0,0,1.34,18.74,0,0,0,0,9.37
3Month,0,0.32,0,1.28,0,1.28,0,0,3.2,0,4.48,2.88,0,1.6,0.64,2.24,2.24,0.96,0,0,0.64,0,0,0.32,0.32,11.52
22Month,0,1.09,0.55,3.83,0,0,1.09,0.55,4.37,0.55,42.09,0.55,0.55,1.09,0,5.47,2.73,0,1.64,0,0,0.55,0,0,0,4.92
