stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,8.17,0,0,0,0,0,0,12.26,8.17,0,0,16.35,32.69,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,4.28,0,2.14,0,0,7.49,4.28,0,0,3.21,0,0,0,2.14,0,0,0
21Day,2.68,0,9.37,0,0,0,0,0,0,0,0,0,0,1.34,2.68,14.72,1.34,0,5.35,4.02,0,0,2.68,0,0,1.34,0,0,0,1.34
3Month,0.96,0.32,6.72,0.32,2.56,2.56,0,0,1.28,2.88,0,4.16,0,1.28,1.28,0.96,0.32,0.64,0.64,0.32,0.64,0,0,0.64,5.44,0,0,1.28,0.64,0.96
22Month,0,0.55,0.55,0,1.09,0.55,0.55,0,5.47,0.55,0.55,1.64,0.55,0,3.28,1.64,0,0,0,0,0.55,0.55,0.55,0,1.64,0,0,0.55,0,0
