stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,8.17,0,0,0,0,0,0,8.17,0,4.09,28.6,0,4.09,0,0,0,0
72hpf,1.07,1.07,1.07,1.07,1.07,0,0,0,1.07,0,4.28,149.77,5.35,8.56,3.21,0,2.14,1.07,0
21Day,2.68,0,0,0,0,0,0,1.34,2.68,0,8.03,81.65,2.68,5.35,1.34,1.34,0,5.35,1.34
3Month,0,0,0,0,0,1.28,0,0,0,0,0,0.32,0,0,0,0.32,0,0,0
22Month,0,0,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0
