stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,20.43,0,106.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.86,0,0,0,0,12.26,93.99,8.17,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,8.56,7.49,0,46,0,2.14,0,1.07,0,0,0,0,0,0,0,3.21,38.51,0,102.7,0,2.14,0,0,210.75,41.72,3.21,0,0,83.44,0,0,2.14,0,0,3.21,0,0,0
21Day,1.34,6.69,0,16.06,1.34,8.03,0,1.34,0,0,0,4.02,0,2.68,1.34,0,5.35,1.34,44.17,0,0,5.35,0,117.79,16.06,0,1.34,0,33.46,2.68,4.02,2.68,2.68,1.34,1.34,0,0,0
3Month,0,11.2,1.28,39.67,0.64,0,0.96,0,0.32,4.16,1.6,127.02,1.6,0.64,22.72,5.44,17.28,2.56,25.92,7.04,0.64,1.6,4.8,21.44,0.32,13.12,1.6,0,0.96,3.84,80.31,0,0,0,0.64,2.24,25.28,10.24
22Month,0,54.12,0,2.19,0,0,0,0.55,0,2.19,1.09,15.85,0,0,0.55,0.55,0.55,0.55,3.83,0.55,1.09,0,0,37.17,0.55,13.12,0.55,1.64,0,0.55,20.77,0.55,0,0,0,0,0,1.09
