stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,40.86,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,0,0,0,0
21Day,0,1.34,0,0,0,9.37,1.34,0,0,0,1.34,0,2.68,2.68,1.34,1.34,0,4.02
3Month,2.56,3.2,0,0.64,1.92,25.6,0,1.28,0.64,0.96,1.6,0.64,15.36,0,4.16,0,0,2.56
22Month,1.09,1.64,1.09,2.73,4.92,33.35,0,1.09,0,0.55,3.83,2.19,21.87,0,3.83,0,0.55,4.37
