stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,2.68,0,4.02,1.34,1.34,0,1.34,0,0,0,0,0,0,0,2.68,0,0,0,1.34,0,0,1.34,0,0,0,1.34
3Month,0.32,0.96,5.76,0,0,0.32,0.32,2.24,0.32,1.28,0.32,5.76,0.96,1.92,0,0,0.32,0.32,0,0.32,0.32,0.32,0.64,0.96,0.32,1.92
22Month,0,0,0.55,0,0,0,0,0,0,0.55,0,9.29,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0
