stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell
72hpf,1.07,0,0,0,0,8.56,2.14
21Day,0,0,0,0,1.34,5.35,0
22Month,0,0.55,0.55,0.55,0,0,0
