stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,57.21,8.17,0,0,0,0,0,0,8.17,4.09,114.42,0,0,36.78,1573.27,0,0,0,0,0,0,4.09,0,0,0
72hpf,12.84,4.28,0,20.33,17.12,6.42,1.07,0,0,0,4.28,24.61,0,47.07,1.07,0,158.33,412.94,1.07,48.14,0,59.91,4.28,0,1.07,0,0,0
21Day,13.39,1.34,1.34,48.19,4.02,5.35,0,0,2.68,1.34,4.02,18.74,0,60.23,1.34,0,93.7,219.52,0,21.42,10.71,30.79,10.71,8.03,1.34,0,0,0
3Month,0,0,0,3.2,0,0,0,0.32,0.32,0.32,0,0.96,0.32,0.96,0,0.32,0.64,0.96,0,0,0,0.32,0.32,0,0,0.32,0.32,0.32
22Month,0,0,0,0.55,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
