stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,2.14,4.28,0,0,0,0,0,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,1.34
3Month,0.32,1.6,0.32,15.36,0.32,0.32,1.6,3.52,6.4,2.56,0.64,3.84,1.28,3.52,3.2,4.48,0.96,0,0.64,1.92,0.96,0,0.64,0.64,0,2.24,0,1.92,1.92,4.8
22Month,0,0.55,0,1.09,0,1.09,0,2.73,3.83,0.55,0,1.64,0,1.09,1.09,1.64,0,1.09,0,0,0.55,0,0.55,1.09,0,0,0.55,0,0,1.09
