stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,8.17,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,16.35,0,0,0,0,4.09,175.72,0,0,8.17,0,0,0,0,4.09,0,0,0
72hpf,3.21,3.21,9.63,1.07,1.07,0,0,0,0,0,0,0,0,0,0,3.21,18.19,0,17.12,0,0,1.07,1.07,69.54,43.86,0,0,13.91,0,0,5.35,0,2.14,0,0,0
21Day,2.68,1.34,10.71,1.34,9.37,2.68,0,0,0,0,0,0,0,4.02,0,0,6.69,2.68,20.08,0,0,1.34,0,12.05,5.35,0,0,8.03,2.68,0,2.68,1.34,0,0,0,0
3Month,0,4.48,13.12,0.32,0,0,0.32,1.92,2.24,0,0,11.2,1.92,0,4.16,1.6,9.92,4.8,9.92,2.56,0,1.28,1.6,1.6,0,0.64,0.32,0,0.32,5.12,0,0,0,1.6,2.88,2.88
22Month,0,3.28,10.93,0,0,0.55,0,2.19,25.15,0.55,0,150.88,6.01,0.55,32.8,0.55,2.73,24.6,12.03,1.09,3.83,0,0,0,0,0.55,0.55,0.55,0,6.01,0.55,0,0,0.55,0,1.64
