stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,2.68,0,0,1.34,0,0,1.34
3Month,0.96,1.6,0,0.96,1.92,0.32,1.28,0.64,0.96,3.84,0.64,0,0.32,0.32,1.92,69.11
22Month,1.09,1.09,0.55,2.19,3.83,0.55,0.55,0.55,0,1.64,0,0.55,0,0,0,31.71
