stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,1.07,0,0,0,5.35,3.21,0,0,0,0,0,0,0,0
21Day,0,0,2.68,2.68,0,0,0,0,0,4.02,0,2.68,0,0,6.69,2.68,4.02,0,0,0,2.68,18.74,2.68,1.34,9.37,1.34,0,4.02,0,0
3Month,0.64,0.64,11.52,0,0.32,0.32,4.16,0.64,0,59.51,2.24,0.64,23.36,0.32,7.68,0.64,2.56,0,1.28,0.64,0,0,0.96,2.88,0,0.64,4.48,0,0.32,1.92
22Month,0,0.55,2.19,0,0,0,3.28,1.09,1.09,36.08,0,0.55,41,0,0,3.83,2.19,0.55,0,0,0.55,0.55,0.55,5.47,0.55,0,1.09,2.73,0,0
