stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,20.43,0,0,0,0,0,0,0,0,0
72hpf,18.19,8.56,0,16.05,0,18.19,0,0,0,0,0,5.35,31.02,3.21,12.84,3.21,1.07,1542.64,683.6,1.07,19.26,1.07,0,18.19,1.07,2.14,1.07,0
21Day,16.06,1.34,2.68,9.37,2.68,18.74,1.34,0,1.34,0,2.68,2.68,10.71,1.34,29.45,0,0,618.4,263.69,5.35,17.4,32.12,2.68,10.71,2.68,6.69,4.02,6.69
3Month,0,0,0,0.32,0,0,0,0.64,0.64,0.32,0,0,0,0,0.32,0,0,0.64,0.64,0,0,0,0,0,0,0,0,0
22Month,0,0.55,0,0.55,0,0,0,0.55,7.65,0.55,0,0.55,0.55,1.09,1.09,0,0,7.11,0.55,0,0,0,1.09,0,0,0,0,0
