stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Pancreatic_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,4.28,0,0,0,0,0,0,0,0,0,2.14,26.74,0,1.07,0,0,0,0,0,0,0
21Day,0,10.71,1.34,0,0,0,0,0,0,0,0,4.02,4.02,0,0,0,0,0,1.34,0,0,0
3Month,0,12.48,0,0,0.64,0,0,0.64,0,0,0,5.12,2.56,0.64,0.32,0,0,0.96,0.32,0.64,0.32,0
22Month,4.92,43.73,0,0.55,9.29,1.09,19.13,15.31,0.55,0.55,113.7,3.83,4.37,1.09,1.64,1.64,0.55,0.55,1.64,0.55,0,1.09
