stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,8.17,4.09,8.17,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,0,0,0,88.79,6.42,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,37.48,5.35,0,0,1.34,0
3Month,0.96,0,0,0,0,0,0.64,0.64,0,0,0,0,0.32,0.32,0,0.64
22Month,0.55,0,0,0.55,0.55,2.19,13.12,1.09,0.55,0,0.55,0,0,0,0,0.55
