stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,1.07,0,0,0,1.07,1.07,0,0,0,0
21Day,4.02,0,1.34,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0
3Month,0,0.64,0.64,0.64,0.32,0.32,0.32,0,1.28,0.32,0,0,0,0.32,4.16,0.32,9.6
22Month,0,0,0,0,0,0,0,0,0.55,0.55,0,0,0,0,0,0,0
