stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,8.17,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,12.26,0,0
72hpf,6.42,0,0,3.21,1.07,6.42,0,0,0,1.07,0,1.07,0,0,0,0,7.49,2.14,18.19,0,0,0,1.07,557.36,25.67,2.14,4.28,2.14,3.21,16.05,5.35,0,31.02,0,0
21Day,24.09,1.34,0,5.35,1.34,14.72,0,2.68,0,0,0,0,0,0,2.68,1.34,12.05,1.34,9.37,0,0,9.37,0,485.89,12.05,0,0,5.35,0,5.35,5.35,2.68,16.06,0,0
3Month,0.32,4.48,0,1.92,0,0,0.32,0,0,0.96,0,2.88,0,0.32,1.6,0,0.64,0.64,2.56,0,0,0,0.32,8,0,0.32,0,0,1.6,0,0.64,0,0.32,0.32,1.28
22Month,0.55,19.68,0.55,2.19,0,0,0,0.55,0.55,2.73,0,28.43,0.55,0.55,2.19,0,0,1.64,3.83,0.55,1.09,0.55,1.09,26.24,0,2.19,0,0.55,2.73,0.55,0.55,0,0,0,1.09
