stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0,1.07,0,0,0,66.33,3.21,0,1.07,4.28,0,0,1.07,7.49,4.28,0,0,0
21Day,1.34,0,0,2.68,0,0,0,0,0,0,1.34,0,0,2.68,0,0,0,26.77,1.34,0,0,1.34,0,1.34,0,5.35,6.69,0,0,0
3Month,0,0.96,0,2.24,0,0.32,0,0,7.04,0.96,0.96,0.64,0.32,1.28,0.32,0,0,2.88,0,5.12,1.28,0,0.96,6.4,0.32,0,0,0.64,3.2,0
22Month,0,0.55,0.55,0.55,0,0,0.55,0.55,18.04,0,1.64,0,0.55,0,0,0.55,0.55,2.19,0,4.37,0,0,0,3.28,0.55,2.73,0,0,0,0.55
