stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,1.07,0,1.07,0,0,0,0,0,0
21Day,0,2.68,1.34,0,0,0,0,0,0,0,0,0,1.34,2.68,0,5.35,0,2.68,0,0,0,0,0,0,1.34,2.68,0,2.68
3Month,0.96,4.8,0,0,0.32,0.64,0,4.16,1.6,0,0.64,0.32,0.96,1.92,0,26.88,3.2,0,0,0.64,0,0.32,0.32,2.24,0,0,1.92,0.64
22Month,3.28,6.56,0,0.55,0,1.64,0.55,27.88,0.55,0.55,4.92,0,2.73,3.83,0.55,13.67,0.55,0,0,1.64,0.55,0,0,0,0,0,0,2.19
