stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,24.52,4.09,8.17,0,0,0,0,0,0,0,0,0,12.26,0,0,0,53.12,0,4.09,0,0,0,0,0,0,0
72hpf,3.21,0,3.21,3.21,1.07,0,0,0,0,0,3.21,0,10.7,0,0,0,6.42,1.07,13.91,0,0,0,1.07,0,0,0
21Day,1.34,2.68,2.68,0,1.34,0,0,0,0,1.34,1.34,0,46.85,0,8.03,2.68,0,0,40.16,2.68,0,1.34,1.34,0,0,0
3Month,0,0.32,5.44,0,0,0.32,0.32,1.92,0.64,0,2.56,0.64,8.96,0.32,0,0.32,0,0,0,0,1.6,0,0,21.76,0.96,0.32
22Month,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
