stage,Erythrocyte__Liver_,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,1.07,12.84,0,1.07,1.07,0,0,0,0,0
21Day,0,0,0,0,4.02,22.76,0,0,0,0,1.34,0,0,1.34
3Month,0,0,0.32,0.32,0.64,0,1.28,0,0,0.32,0,0.32,0.64,0
22Month,0.55,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0
