stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,12.26,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,0,3.21,2.14,0,0,0
21Day,4.02,0,0,2.68,1.34,1.34,0,0,0,0,1.34,0,0,0,0,2.68,0,0,0
3Month,0,0,0,0,0,0.32,0,0.64,0.32,0,0,0,0,0.32,0,0,0,0,0.32
22Month,0,0.55,0.55,0,0,1.09,0.55,9.29,0,1.09,0,0,1.09,0,0,0,0.55,0.55,0.55
