stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,1.07,0,0,0,0,0,0,1.07,1.07,1.07,2.14,0,0,0,0,11.77,13.91,0,1.07,2.14,0,0,3.21,0,0,0
21Day,0,0,6.69,1.34,0,0,0,0,1.34,0,12.05,1.34,0,4.02,12.05,5.35,0,0,1.34,0,6.69,4.02,0,0,1.34,0,0,4.02,0,0,1.34
3Month,0,0,6.4,0,0.32,0,0.64,0.64,16,0.64,0.32,4.16,0,0.96,0.96,1.28,0.32,0,1.92,0.64,0.32,0,0,0.32,0,0.96,1.28,0,0.64,1.28,1.92
22Month,1.09,1.64,13.67,0,0,0,1.09,2.19,49.75,0.55,0,6.56,0,0.55,2.19,1.64,0,0.55,0.55,0,0,0,1.09,1.09,0,0.55,0.55,0,0.55,0,1.09
