stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0
72hpf,1.07,1.07,0,1.07,0,0,0,0,0,9.63,6.42,0,1.07,2.14
21Day,0,0,2.68,1.34,1.34,1.34,2.68,4.02,1.34,4.02,6.69,1.34,0,0
