stage,Epithelial_cell,Erythroid_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,4.09,0,0,8.17,0,24.52,0,0
72hpf,1.07,0,0,4.28,4.28,6.42,1.07,1.07
21Day,0,1.34,1.34,6.69,0,0,0,0
