stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,0,0,0,0,4.28,1.07,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,0,8.03,0,2.68,0,0,0,1.34,0,0,0,0,0,0
3Month,0.96,16.96,0,0.96,0.96,22.4,86.71,2.56,0.32,1.28,0.64,0.32,20.8,1.92,0.64,0.32,0.64,0.64,0.32,0.32,1.6,0.96,0.32,1.6
22Month,0,10.39,0,0,1.64,31.16,170.01,1.64,0.55,1.64,0,0,12.57,3.28,3.83,0,0,0.55,0.55,0,0.55,0.55,0,0
