stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,1.07,0,1.07,0,2.14,0,0,0,0,0,0,0,0,0
21Day,12.05,1.34,10.71,12.05,1.34,1.34,1.34,9.37,5.35,2.68,58.9,1.34,25.43,10.71,1.34,2.68,2.68,0,1.34,1.34,1.34,4.02
3Month,0,0,0.32,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0.32,0,0,0,0.96
22Month,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
