stage,Epithelial_cell,Granulosa_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,1.07,1.07,0,0
21Day,1.34,0,0,0,0,0,0,0,1.34,0
3Month,0.96,0,1.28,0.32,0.32,0.32,0,0,7.36,11.2
22Month,0,0.55,2.73,0,0,0,0,0,0,0
