stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0,0
21Day,1.34,0,60.23,2.68,0,0,0,0,0,0,0,0,68.27,0,1.34,5.35,0,1.34,0,1.34,0,0
3Month,0,0,24.64,0,0,0.32,0.64,0.64,3.2,0.32,1.6,0.32,1.6,0.96,0.96,0.64,0,0.32,0.96,0,0.64,0.64
22Month,0,0.55,7.11,0,0.55,0,0,1.09,10.93,0.55,0.55,0,0,0.55,1.64,0,0.55,0,1.64,0,0,0
