stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,134.85,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,20.43,0,0,0,0,0,69.47,0,0,28.6,0,0,0,0,0,0,0,0,0
72hpf,157.26,18.19,0,262.1,277.08,147.63,0,0,0,1.07,0,1.07,0,3.21,0,32.09,277.08,21.4,239.63,0,8.56,3.21,2.14,959.6,719.97,2.14,18.19,52902.24,3.21,0,314.52,10.7,3.21,29.95,0,0,0
21Day,74.96,9.37,12.05,178.02,72.28,196.76,10.71,0,2.68,6.69,0,29.45,9.37,36.14,29.45,10.71,95.04,24.09,326.6,0,2.68,22.76,0,203.46,151.25,1.34,2.68,24401.46,131.18,1.34,49.53,18.74,133.85,10.71,2.68,0,28.11
3Month,0,0,0,1.6,0.32,0,0,3.52,0,1.92,0,9.92,1.6,0.32,3.2,0.96,2.56,3.52,53.75,4.48,0,0.64,0.96,0.32,0,0.32,0.64,123.5,0.64,7.04,1.28,0,0,1.28,0.64,0.32,0.96
22Month,0,3.83,0.55,7.65,0,0,0,1.64,2.19,3.28,1.64,53.03,2.19,0.55,8.2,0.55,1.09,2.19,20.23,1.09,2.19,0.55,0,0,1.09,0.55,0,18.04,0.55,2.73,3.83,0.55,0,0,0.55,0,0
