stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,8.17,0,4.09,0,0,0,0,4.09,77.64,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,2.14,0,0,0,0,0,0,0,0,0,1.07,3.21,0,4.28,0,0,0,0,9.63,7.49,0,0,0,0,1.07,0,0,1.07,0,0,0
21Day,1.34,0,0,4.02,0,0,0,0,0,0,1.34,0,1.34,1.34,0,2.68,0,2.68,0,0,0,0,0,1.34,0,0,0,2.68,0,0,0,0,0,0,0
3Month,0,0.32,0,5.12,0,0,0.32,0.64,0.64,0,63.67,1.6,0,6.08,0,1.92,2.88,1.6,0.64,0,1.92,0.32,0,0,0,0,0,0.32,0.64,2.88,0,0,0.64,0.64,0.64
22Month,0,2.73,2.19,5.47,0,1.09,0,0,5.47,3.28,247.63,1.09,1.09,11.48,0,2.19,8.75,5.47,0.55,10.39,1.09,0,0,0,0.55,0.55,0.55,0,0.55,2.19,0.55,0,1.09,0,0.55
