stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,20.43,0,0,0,4.09,0,0,0,0,0,0,0,4.09,57.21,0,36.78,0,0,0,0,0,85.81,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,8.56,2.14,1.07,0,0,0,0,0,0,0,0,0,11.77,38.51,2.14,4.28,0,0,0,1.07,10.7,5.35,0,0,0,2.14,0,0,1.07,0,0,0,0
21Day,1.34,0,0,16.06,1.34,2.68,0,0,0,0,0,1.34,0,1.34,2.68,0,4.02,1.34,2.68,0,0,0,0,5.35,2.68,0,0,1.34,1.34,4.02,0,0,1.34,0,0,0
3Month,0,0.64,2.56,14.72,0,0,0.64,0,0.64,1.28,0.32,51.19,1.28,0.32,17.28,2.24,2.88,2.56,1.92,0.32,0,0.32,2.24,0.96,0,0.32,0,0,1.6,105.26,0.64,0,0,0.64,16.64,0.64
22Month,0.55,0.55,0.55,4.92,0,0,0,1.09,0,1.09,1.09,73.8,0,0,16.4,0,1.64,1.64,3.28,0.55,4.92,1.09,1.09,1.09,0,0.55,1.09,0,0,60.68,0,1.09,0,0,0,0
