stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0
3Month,1.6,0.96,20.48,0,0.32,0.32,1.92,4.48,4.48,2.88,4.16,2.24,8,2.56,6.72,1.92,3.2,0.32,0,0.64,0.32,0.32,0.64,0.96,0,0.32,8.64,0.96
22Month,0.55,0,2.73,0,0,0,0,14.21,3.28,0.55,1.09,0,0,4.92,1.64,0,1.64,0,0,0,0,0,0,0.55,1.09,0,0,0
