stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
21Day,0,0,0,0,21.42,0,0,1.34,2.68,0,1.34,0,4.02
3Month,0.32,0.32,1.6,0.96,0.96,0.32,0.32,9.6,1.28,6.4,0,0.32,3.84
