stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
72hpf,1.07,1.07,0,1.07,1.07,0,0,0,0,0,0,0,1.07,0,0,2.14,0,1.07,0,187.21,4.28,0,0,2.14,0,1.07,60.98,2.14,0
21Day,1.34,0,0,4.02,4.02,1.34,0,1.34,0,0,0,1.34,0,0,0,2.68,0,0,1.34,44.17,1.34,0,1.34,0,1.34,0,105.74,4.02,0
3Month,0,0,0,0.32,0,0,0.32,0,0,1.28,0,0.32,0,0.32,0.64,0.32,0.32,0,0,0,0,0.32,0,0,0,0,0.96,0,0.32
22Month,0,0.55,0.55,0,0,0.55,0,0.55,0.55,8.75,0.55,0,0,0,4.92,1.64,0,0,0,0,0,0,0,0,0,1.09,195.16,0,0.55
