stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,4.09,4.09,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0
3Month,0.64,0.32,0.64,1.6,0.64,0,0.32,0,0
22Month,2.73,0.55,13.67,5.47,3.83,1.64,0,0,0.55
