stage,Epithelial_cell,Goblet_cell,Granulocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell
24hpf,4.09,0,0,0,0,0,8.17,0,0,4.09,0,0,0
72hpf,3.21,0,0,0,0,1.07,0,0,2.14,3.21,0,0,0
21Day,4.02,0,0,0,0,0,0,1.34,0,2.68,0,1.34,0
3Month,0.64,0.32,0,0.32,0.64,0,0,0.32,0,0.64,0.64,0,1.28
22Month,0,0,0.55,0,0,0,0,0,0,0,0,0,0
