stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,57.21,0,0,0,0,0,4.09,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,12.84,0,0,1.07,0,0,0,3.21,0,0,0,0,0,0,5.35,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,2.68,0,0,0,5.35,0,0,1.34,29.45,0,1.34
3Month,0.32,0,0.64,36.15,0.64,0,0.32,0,0.32,0,4.48,2.56,0.96,144.3,2.24,1.28,3.52,0.32,13.44,0,0,0.32,0,0.32,2.88,0.32,0,5.12,2.24,0.32
22Month,0.55,1.09,0,84.18,0,1.09,0,0.55,0.55,1.09,13.12,1.09,2.73,44.28,0.55,1.09,1.09,0,1.64,0,0,0,0.55,0,0,0,0,0.55,0,0.55
