stage,Erythrocyte,Granulocyte,Immune_progenitor_cell,Macrophage
24hpf,0,0,0,8.17
72hpf,0,1.07,0,0
21Day,1.34,1.34,1.34,2.68
22Month,0,0,0.55,0.55
