stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Oligodendrocyte,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,2.14,1.07,0,0,0,0,0,1.07,2.14,0,0,0,0,0
21Day,0,4.02,1.34,1.34,0,0,0,2.68,1.34,0,0,0,0,4.02
3Month,0.64,2.24,0,0,0.32,0.96,0.32,0,0,0.64,0.32,0.32,0.32,0.64
