stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,4.09,12.26,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,0,0,2.14,7.49,0,1.07,0,0,3.21,1.07,1.07,0,0,0,0,0
21Day,0,0,6.69,1.34,0,1.34,0,0,0,0,0,0,0,6.69,0,1.34,0,0,0,1.34,1.34,0,1.34,1.34,1.34,0
3Month,0,0,0.96,0,0,0,0.32,0,0,1.28,0.64,0.64,0,0.96,0.64,0,0,0,0,0,0,0.64,0,0,0,0.32
22Month,0,0.55,0,0,0.55,0,0,2.73,0,9.29,0,0.55,0,0,1.09,1.09,1.09,0.55,0,0,0,0,0,0,0,0
