stage,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell
72hpf,0,1.07,0,0,1.07,7.49
21Day,1.34,0,0,0,0,4.02
3Month,0,0,0,0.64,0,0
22Month,0,0,1.64,0,0,0
